
雷克萨斯RC F	126.80万元

----------- 理念 -----------
理念S1	7.78万元

----------- 陆地方舟 -----------
陆地方舟V5	7.08万元
陆地方舟风尚	29.80万元

----------- 雷丁 -----------
雷丁D50	4.79万元
雷丁D70	4.99万元

----------- LOCAL MOTORS -----------
RALLY FIGHTER	158.00万元

----------- 马自达 -----------
昂克赛拉三厢	15.29万元
马自达CX-5	22.28万元
阿特兹	21.58万元
马自达6	15.98万元
昂克赛拉两厢	15.99万元
马自达CX-7	19.98万元
马自达8	25.98万元
马自达MX-5 	29.98万元
马自达5	19.38万元
马自达3星骋两厢	12.58万元
睿翼	17.28万元
马自达3星骋三厢	12.58万元
马自达CX-9	43.90万元
马自达2两厢	9.28万元
睿翼轿跑	18.48万元
马自达CX-7(进口)	29.08万元
马自达CX-5(进口)	28.18万元

----------- MG -----------
名爵锐腾	17.97万元
MG3	8.37万元
名爵锐行	9.59万元
MG6掀背	13.28万元
MG 3SW	8.77万元
MG5	14.07万元

----------- MINI -----------
MINI 3-DOOR	34.10万元
MINI CLUBMAN	38.10万元
MINI COUNTRYMAN	39.90万元
MINI 5-DOOR	35.10万元
MINI COUPE	38.50万元
MINI ROADSTER	43.30万元
MINI CABRIO	38.50万元
MINI PACEMAN	38.90万元
MINI JCW	39.10万元
MINI JCW PACEMAN	43.90万元
MINI JCW COUPE	42.50万元
MINI JCW COUNTRYMAN	42.90万元
MINI JCW CLUBMAN	41.90万元

----------- 玛莎拉蒂 -----------
Levante	99.98万元
Ghibli	139.80万元
总裁	189.80万元
玛莎拉蒂GT	288.80万元
GranCabrio 	302.80万元

----------- 迈凯伦 -----------
迈凯伦P1	1260.00万元
迈凯伦540C	225.00万元
迈凯伦625C	381.80万元
迈凯伦570S	255.60万元
迈凯伦650S	406.80万元
迈凯伦570GT	273.10万元
迈凯伦675LT	493.30万元

----------- 摩根 -----------
摩根4-4	95.00万元
3 Wheeler	89.37万元
摩根Aero 8	268.00万元
摩根Aero	417.19万元
摩根Plus 8	248.00万元
摩根Plus 4	130.00万元
摩根Roadster	160.00万元

----------- 明君汽车 -----------
华凯皮卡	7.78万元

----------- 纳智捷 -----------
优6 SUV	16.98万元
纳5	11.98万元
大7 SUV	24.98万元
大7 MPV	24.98万元
MASTER CEO	39.80万元

----------- 讴歌 -----------
讴歌RDX	45.98万元
讴歌MDX 	79.50万元
讴歌TLX	43.90万元
讴歌ZDX	88.80万元
讴歌ILX	29.80万元
讴歌RLX混合动力	109.80万元
讴歌RLX	85.80万元
讴歌ILX混合动力	32.80万元

----------- 欧朗 -----------
欧朗三厢	8.18万元
欧朗两厢	8.18万元

----------- 帕加尼 -----------
Huayra	2900.00万元

----------- 起亚 -----------
起亚K4	14.98万元
起亚K3	15.08万元
起亚K5	20.98万元
起亚KX5	19.38万元
智跑	18.98万元
起亚KX3	14.48万元
起亚K2三厢	10.19万元
凯尊	32.18万元
福瑞迪	13.48万元
索兰托	29.46万元
狮跑	14.68万元
起亚K9	55.80万元
霸锐	41.68万元
嘉华(进口)	38.98万元
起亚K3S	14.38万元
秀尔	12.78万元
佳乐	20.58万元
起亚K2两厢	10.19万元
赛拉图	11.48万元
速迈	21.18万元
起亚K5混动(进口)	25.98万元
起亚VQ-R	29.70万元

----------- 奇瑞 -----------
瑞虎3	9.29万元
艾瑞泽5	7.49万元
奇瑞eQ	7.48万元
瑞虎5	11.89万元
艾瑞泽7	9.85万元
风云2两厢	4.59万元
奇瑞E3	6.49万元
奇瑞QQ	5.09万元
艾瑞泽M7	10.79万元
艾瑞泽3	7.49万元
奇瑞E5	6.90万元

----------- 启辰 -----------
启辰T70	12.78万元
启辰R30	4.59万元
启辰D50	8.23万元
启辰R50	8.23万元
启辰T70X	13.38万元
晨风	24.28万元
启辰R50X	8.60万元

----------- 日产 -----------
蓝鸟	13.54万元
轩逸	15.00万元
逍客	13.98万元
天籁	29.98万元
奇骏	20.98万元
TIIDA	12.70万元
西玛	23.48万元
楼兰	30.18万元
骊威	11.18万元
轩逸经典	12.08万元
阳光	9.40万元
日产GT-R	235.00万元
日产NV200	13.28万元
途乐	79.80万元
帕拉丁	20.78万元
楼兰混动	33.38万元
贵士	46.80万元
日产370Z	52.50万元
玛驰	8.75万元
Pathfinder	39.80万元
日产D22皮卡	18.68万元
碧莲	126.80万元
日产D22厢式车	19.68万元

----------- 荣威 -----------
荣威360	7.79万元
荣威350	9.97万元
荣威e550	23.98万元
荣威550	12.98万元
荣威W5	14.28万元
荣威e950	30.88万元
荣威950	28.98万元
荣威e50	18.89万元

----------- 斯柯达 -----------
明锐	17.99万元
明锐经典款	12.18万元
Yeti	18.98万元
昕动	6.99万元
速派	21.28万元
晶锐	8.49万元
昕锐	7.99万元
明锐旅行车	23.78万元
速尊	33.48万元

----------- 三菱 -----------
劲炫ASX	11.98万元
帕杰罗(进口)	42.98万元
欧蓝德(进口)	21.48万元
三菱翼神	11.10万元
帕杰罗·劲畅	28.88万元
帕杰罗·劲畅(进口)	39.80万元
三菱蓝瑟	7.68万元
三菱君阁	17.48万元
三菱戈蓝	19.98万元
三菱风迪思	14.98万元

----------- 双环 -----------
双环SCEO	15.88万元

----------- 斯巴鲁 -----------
森林人	33.48万元
傲虎	35.98万元
斯巴鲁BRZ	27.90万元
斯巴鲁XV	18.98万元
力狮	29.28万元
翼豹三厢	49.80万元

----------- 双龙 -----------
途凌	18.68万元
蒂维拉	12.98万元
爱腾	21.98万元
雷斯特W	33.48万元
